"checking.status","duration.in.months","credit.history","purpose","amount","savings","employed.since","percentage.of.disposable.income","personal.status.and.sex","cosigners","at.residence.since","property","age.in.years","other.installment.plans","housing","num.credits.at.bank","job","num.dependents","telephone","foreign.worker","good.loan","Good.Loan"
"< 200 DM",6,"paid to date","car (new)",14555,"unknown","unemployed",1,"male:single","none",2,"savings/life ins",23,"none","own",1,"unemployed/unskilled - non-resident",1,"yes, registered under the customers name","yes",2,"BadLoan"
"< 200 DM",21,"paid to date","business",2767,"< 500 DM",">= 7 years",4,"male:divorced/separated","none",2,"car or other",61,"bank","rent",2,"unskilled - resident",1,"none","yes",2,"BadLoan"
"no checking",12,"critical","radio/television",1291,"< 100 DM","< 4 years",4,"female:divorced/separated/married","none",2,"savings/life ins",35,"none","own",2,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"< 0 DM",30,"paid to date","radio/television",2522,"< 100 DM",">= 7 years",1,"male:single","guarantor",3,"savings/life ins",39,"none","own",1,"skilled employee/official",2,"none","yes",1,"GoodLoan"
"< 0 DM",24,"paid to date","car (new)",915,"unknown",">= 7 years",4,"female:divorced/separated/married","none",2,"car or other",29,"bank","own",1,"skilled employee/official",1,"none","yes",2,"BadLoan"
"no checking",6,"paid to date","radio/television",1595,"< 100 DM","< 7 years",3,"male:single","none",2,"savings/life ins",51,"none","own",1,"skilled employee/official",2,"none","yes",1,"GoodLoan"
"< 0 DM",48,"fully paid","car (used)",4605,"< 100 DM",">= 7 years",3,"male:single","none",4,"unknown",24,"none","for free",2,"skilled employee/official",2,"none","yes",2,"BadLoan"
"no checking",12,"critical","business",1185,"< 100 DM","< 4 years",3,"female:divorced/separated/married","none",2,"real estate",27,"none","own",2,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"no checking",12,"fully paid at this bank","retraining",3447,"< 1000 DM","< 4 years",4,"female:divorced/separated/married","none",3,"real estate",35,"none","own",1,"unskilled - resident",2,"none","yes",1,"GoodLoan"
"no checking",24,"paid to date","business",1258,"< 100 DM","< 7 years",4,"male:single","none",1,"real estate",25,"none","own",1,"skilled employee/official",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"no checking",12,"critical","radio/television",717,"< 100 DM",">= 7 years",4,"male:single","none",4,"real estate",52,"none","own",3,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"no checking",6,"fully paid","car (new)",1204,"< 500 DM","< 4 years",4,"male:single","none",1,"unknown",35,"bank","rent",1,"skilled employee/official",1,"none","no",1,"GoodLoan"
">= 200 DM",24,"paid to date","furniture/equipment",1925,"< 100 DM","< 4 years",2,"male:single","none",2,"real estate",26,"none","own",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"no checking",18,"paid to date","radio/television",433,"< 100 DM","unemployed",3,"female:divorced/separated/married","co-applicant",4,"real estate",22,"none","rent",1,"skilled employee/official",1,"none","yes",2,"BadLoan"
"< 0 DM",6,"critical","car (new)",666,">= 1000 DM","< 7 years",3,"female:divorced/separated/married","none",4,"real estate",39,"none","own",2,"unskilled - resident",1,"yes, registered under the customers name","yes",1,"GoodLoan"
">= 200 DM",12,"paid to date","furniture/equipment",2251,"< 100 DM","< 4 years",1,"female:divorced/separated/married","none",2,"car or other",46,"none","own",1,"unskilled - resident",1,"none","yes",1,"GoodLoan"
"< 200 DM",30,"paid to date","car (new)",2150,"< 100 DM","< 4 years",4,"female:divorced/separated/married","guarantor",2,"unknown",24,"bank","own",1,"skilled employee/official",1,"none","yes",2,"BadLoan"
"no checking",24,"past delays","furniture/equipment",4151,"< 500 DM","< 4 years",2,"male:single","none",3,"savings/life ins",35,"none","own",2,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"< 200 DM",9,"paid to date","furniture/equipment",2030,"unknown","< 7 years",2,"male:single","none",1,"car or other",24,"none","own",1,"skilled employee/official",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 200 DM",60,"past delays","radio/television",7418,"unknown","< 4 years",1,"male:single","none",1,"real estate",27,"none","own",1,"unskilled - resident",1,"none","yes",1,"GoodLoan"
"no checking",24,"critical","radio/television",2684,"< 100 DM","< 4 years",4,"male:single","none",2,"real estate",35,"none","own",2,"unskilled - resident",1,"none","yes",1,"GoodLoan"
"< 0 DM",12,"fully paid at this bank","radio/television",2149,"< 100 DM","< 4 years",4,"male:divorced/separated","none",1,"unknown",29,"none","for free",1,"skilled employee/official",1,"none","yes",2,"BadLoan"
"no checking",15,"paid to date","car (used)",3812,"< 500 DM","< 1 year",1,"female:divorced/separated/married","none",4,"car or other",23,"none","own",1,"skilled employee/official",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"no checking",11,"critical","radio/television",1154,"< 500 DM","unemployed",4,"female:divorced/separated/married","none",4,"real estate",57,"none","own",3,"unskilled - resident",1,"none","yes",1,"GoodLoan"
"< 0 DM",12,"paid to date","furniture/equipment",1657,"< 100 DM","< 4 years",2,"male:single","none",2,"real estate",27,"none","own",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"< 0 DM",24,"paid to date","radio/television",1603,"< 100 DM",">= 7 years",4,"female:divorced/separated/married","none",4,"car or other",55,"none","own",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"< 0 DM",18,"critical","car (new)",5302,"< 100 DM",">= 7 years",2,"male:single","none",4,"unknown",36,"none","for free",3,"management/self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"no checking",12,"critical","education",2748,"< 100 DM",">= 7 years",2,"female:divorced/separated/married","none",4,"unknown",57,"bank","for free",3,"unskilled - resident",1,"none","yes",1,"GoodLoan"
"no checking",10,"critical","car (new)",1231,"< 100 DM",">= 7 years",3,"male:single","none",4,"real estate",32,"none","own",2,"unskilled - resident",2,"none","no",1,"GoodLoan"
"< 200 DM",15,"paid to date","radio/television",802,"< 100 DM",">= 7 years",4,"male:single","none",3,"car or other",37,"none","own",1,"skilled employee/official",2,"none","yes",2,"BadLoan"
"no checking",36,"critical","business",6304,"unknown",">= 7 years",4,"male:single","none",4,"real estate",36,"none","own",2,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"no checking",24,"paid to date","radio/television",1533,"< 100 DM","< 1 year",4,"female:divorced/separated/married","none",3,"car or other",38,"stores","own",1,"skilled employee/official",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 0 DM",14,"paid to date","car (new)",8978,"< 100 DM",">= 7 years",1,"male:divorced/separated","none",4,"savings/life ins",45,"none","own",1,"management/self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","no",2,"BadLoan"
"no checking",24,"paid to date","radio/television",999,"unknown",">= 7 years",4,"male:single","none",2,"car or other",25,"none","own",2,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"no checking",18,"paid to date","car (new)",2662,"unknown","< 7 years",4,"male:single","none",3,"savings/life ins",32,"none","own",1,"skilled employee/official",1,"none","no",1,"GoodLoan"
"no checking",12,"critical","furniture/equipment",1402,"< 1000 DM","< 7 years",3,"female:divorced/separated/married","none",4,"car or other",37,"none","rent",1,"skilled employee/official",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 200 DM",48,"fully paid at this bank","car (new)",12169,"unknown","unemployed",4,"male:single","co-applicant",4,"unknown",36,"none","for free",1,"management/self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 200 DM",48,"paid to date","radio/television",3060,"< 100 DM","< 7 years",4,"male:single","none",4,"real estate",28,"none","own",2,"skilled employee/official",1,"none","yes",2,"BadLoan"
"< 0 DM",30,"paid to date","repairs",11998,"< 100 DM","< 1 year",1,"male:divorced/separated","none",1,"unknown",34,"none","own",1,"unskilled - resident",1,"yes, registered under the customers name","yes",2,"BadLoan"
"no checking",9,"paid to date","radio/television",2697,"< 100 DM","< 4 years",1,"male:single","none",2,"real estate",32,"none","own",1,"skilled employee/official",2,"none","yes",1,"GoodLoan"
"no checking",18,"critical","radio/television",2404,"< 100 DM","< 4 years",2,"female:divorced/separated/married","none",2,"car or other",26,"none","own",2,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"< 0 DM",12,"paid to date","furniture/equipment",1262,"unknown",">= 7 years",2,"male:divorced/separated","none",4,"savings/life ins",49,"none","own",1,"unskilled - resident",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"no checking",6,"paid to date","furniture/equipment",4611,"< 100 DM","< 1 year",1,"female:divorced/separated/married","none",4,"savings/life ins",32,"none","own",1,"skilled employee/official",1,"none","yes",2,"BadLoan"
"no checking",24,"paid to date","radio/television",1901,"< 500 DM","< 4 years",4,"male:single","none",4,"car or other",29,"none","rent",1,"management/self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"no checking",15,"critical","car (used)",3368,">= 1000 DM",">= 7 years",3,"male:single","none",4,"unknown",23,"none","rent",2,"skilled employee/official",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"no checking",12,"paid to date","furniture/equipment",1574,"< 100 DM","< 4 years",4,"male:single","none",2,"real estate",50,"none","own",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
">= 200 DM",18,"fully paid at this bank","radio/television",1445,"unknown","< 7 years",4,"male:single","none",4,"car or other",49,"bank","own",1,"unskilled - resident",1,"none","yes",1,"GoodLoan"
"no checking",15,"critical","furniture/equipment",1520,"unknown",">= 7 years",4,"male:single","none",4,"savings/life ins",63,"none","own",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"< 200 DM",24,"critical","car (new)",3878,"< 500 DM","< 1 year",4,"male:divorced/separated","none",2,"car or other",37,"none","own",1,"skilled employee/official",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 0 DM",47,"paid to date","car (new)",10722,"< 100 DM","< 1 year",1,"female:divorced/separated/married","none",1,"real estate",35,"none","own",1,"unskilled - resident",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 0 DM",48,"paid to date","car (used)",4788,"< 100 DM","< 7 years",4,"male:single","none",3,"savings/life ins",26,"none","own",1,"skilled employee/official",2,"none","yes",1,"GoodLoan"
"< 200 DM",48,"past delays","others",7582,"< 500 DM","unemployed",2,"male:single","none",4,"unknown",31,"none","for free",1,"management/self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 200 DM",12,"paid to date","radio/television",1092,"< 100 DM","< 4 years",4,"female:divorced/separated/married","guarantor",4,"real estate",49,"none","own",2,"skilled employee/official",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 0 DM",24,"past delays","radio/television",1024,"< 100 DM","< 1 year",4,"male:married/widowed","none",4,"real estate",48,"stores","own",1,"skilled employee/official",1,"none","yes",2,"BadLoan"
"no checking",12,"paid to date","business",1076,"< 100 DM","< 4 years",2,"male:married/widowed","none",2,"real estate",26,"none","own",1,"skilled employee/official",1,"yes, registered under the customers name","no",1,"GoodLoan"
"< 200 DM",36,"paid to date","car (used)",9398,"< 100 DM","< 1 year",1,"male:married/widowed","none",4,"car or other",28,"none","rent",1,"management/self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes",2,"BadLoan"
"< 0 DM",24,"critical","car (used)",6419,"< 100 DM",">= 7 years",2,"female:divorced/separated/married","none",4,"unknown",44,"none","for free",2,"management/self-employed/highly qualified employee/ officer",2,"yes, registered under the customers name","yes",1,"GoodLoan"
">= 200 DM",42,"critical","car (used)",4796,"< 100 DM",">= 7 years",4,"male:single","none",4,"unknown",56,"none","for free",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"no checking",48,"critical","business",7629,"unknown",">= 7 years",4,"male:divorced/separated","none",2,"car or other",46,"bank","own",2,"management/self-employed/highly qualified employee/ officer",2,"none","yes",1,"GoodLoan"
"< 200 DM",48,"paid to date","furniture/equipment",9960,"< 100 DM","< 1 year",1,"female:divorced/separated/married","none",2,"car or other",26,"none","own",1,"skilled employee/official",1,"yes, registered under the customers name","yes",2,"BadLoan"
"no checking",12,"paid to date","car (used)",4675,"unknown","< 1 year",1,"female:divorced/separated/married","none",4,"car or other",20,"none","rent",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"no checking",10,"paid to date","car (new)",1287,"unknown",">= 7 years",4,"male:single","co-applicant",2,"savings/life ins",45,"none","own",1,"unskilled - resident",1,"none","no",1,"GoodLoan"
"no checking",18,"paid to date","furniture/equipment",2515,"< 100 DM","< 4 years",3,"male:single","none",4,"real estate",43,"none","own",1,"skilled employee/official",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 200 DM",21,"critical","furniture/equipment",2745,">= 1000 DM","< 7 years",3,"male:single","none",2,"car or other",32,"none","own",2,"skilled employee/official",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"no checking",6,"paid to date","car (new)",672,"< 100 DM","unemployed",1,"female:divorced/separated/married","none",4,"real estate",54,"none","own",1,"unemployed/unskilled - non-resident",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 200 DM",36,"fully paid","radio/television",3804,"< 100 DM","< 4 years",4,"female:divorced/separated/married","none",1,"car or other",42,"none","own",1,"skilled employee/official",1,"yes, registered under the customers name","yes",2,"BadLoan"
">= 200 DM",24,"critical","car (new)",1344,"unknown","< 7 years",4,"male:single","none",2,"real estate",37,"bank","own",2,"unskilled - resident",2,"none","yes",2,"BadLoan"
"< 0 DM",10,"critical","car (new)",1038,"< 100 DM","< 7 years",4,"male:single","co-applicant",3,"savings/life ins",49,"none","own",2,"skilled employee/official",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"no checking",48,"critical","car (new)",10127,"< 1000 DM","< 4 years",2,"male:single","none",2,"unknown",44,"bank","for free",1,"skilled employee/official",1,"none","yes",2,"BadLoan"
"no checking",6,"paid to date","furniture/equipment",1543,">= 1000 DM","< 4 years",4,"male:divorced/separated","none",2,"real estate",33,"none","own",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"no checking",30,"paid to date","car (used)",4811,"unknown","< 7 years",2,"female:divorced/separated/married","none",4,"savings/life ins",24,"stores","rent",1,"unskilled - resident",1,"none","yes",1,"GoodLoan"
"< 0 DM",12,"paid to date","radio/television",727,"< 500 DM","< 1 year",4,"male:married/widowed","none",3,"unknown",33,"none","own",1,"unskilled - resident",1,"yes, registered under the customers name","yes",2,"BadLoan"
"< 200 DM",8,"paid to date","furniture/equipment",1237,"< 100 DM","< 4 years",3,"female:divorced/separated/married","none",4,"real estate",24,"none","own",1,"skilled employee/official",1,"none","yes",2,"BadLoan"
"< 200 DM",9,"paid to date","car (new)",276,"< 100 DM","< 4 years",4,"male:married/widowed","none",4,"real estate",22,"none","rent",1,"unskilled - resident",1,"none","yes",1,"GoodLoan"
"< 200 DM",48,"paid to date","others",5381,"unknown","unemployed",3,"male:single","none",4,"unknown",40,"bank","for free",1,"unemployed/unskilled - non-resident",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"no checking",24,"paid to date","furniture/equipment",5511,"< 500 DM","< 4 years",4,"male:single","none",1,"car or other",25,"stores","own",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
">= 200 DM",24,"paid to date","furniture/equipment",3749,"< 100 DM","< 1 year",2,"female:divorced/separated/married","none",4,"car or other",26,"none","own",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"< 200 DM",12,"paid to date","car (new)",685,"< 100 DM","< 7 years",2,"male:married/widowed","none",3,"car or other",25,"bank","own",1,"unskilled - resident",1,"none","yes",2,"BadLoan"
">= 200 DM",4,"paid to date","car (new)",1494,"unknown","< 1 year",1,"male:single","none",2,"real estate",29,"none","own",1,"unskilled - resident",2,"none","no",1,"GoodLoan"
"< 0 DM",36,"fully paid at this bank","furniture/equipment",2746,"< 100 DM",">= 7 years",4,"male:single","none",4,"car or other",31,"bank","own",1,"skilled employee/official",1,"none","yes",2,"BadLoan"
"< 0 DM",12,"paid to date","furniture/equipment",708,"< 100 DM","< 4 years",2,"male:single","guarantor",3,"savings/life ins",38,"none","own",1,"unskilled - resident",2,"none","yes",1,"GoodLoan"
"< 200 DM",24,"paid to date","furniture/equipment",4351,"unknown","< 4 years",1,"female:divorced/separated/married","none",4,"savings/life ins",48,"none","own",1,"unskilled - resident",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"no checking",12,"critical","education",701,"< 100 DM","< 4 years",4,"male:single","none",2,"car or other",32,"none","own",2,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"< 0 DM",15,"past delays","furniture/equipment",3643,"< 100 DM",">= 7 years",1,"female:divorced/separated/married","none",4,"savings/life ins",27,"none","own",2,"unskilled - resident",1,"none","yes",1,"GoodLoan"
"< 200 DM",30,"critical","car (new)",4249,"< 100 DM","unemployed",4,"male:married/widowed","none",2,"car or other",28,"none","own",2,"management/self-employed/highly qualified employee/ officer",1,"none","yes",2,"BadLoan"
"< 0 DM",24,"paid to date","radio/television",1938,"< 100 DM","< 1 year",4,"male:divorced/separated","none",3,"savings/life ins",32,"none","own",1,"skilled employee/official",1,"none","yes",2,"BadLoan"
"< 0 DM",24,"paid to date","car (used)",2910,"< 100 DM","< 7 years",2,"male:single","none",1,"unknown",34,"none","for free",1,"management/self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 0 DM",18,"paid to date","furniture/equipment",2659,">= 1000 DM","< 4 years",4,"male:single","none",2,"car or other",28,"none","own",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"no checking",18,"critical","car (new)",1028,"< 100 DM","< 4 years",4,"female:divorced/separated/married","none",3,"real estate",36,"none","own",2,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"< 0 DM",8,"critical","car (new)",3398,"< 100 DM","< 7 years",1,"male:single","none",4,"real estate",39,"none","own",2,"unskilled - resident",1,"none","no",1,"GoodLoan"
"no checking",12,"critical","furniture/equipment",5801,"unknown",">= 7 years",2,"male:single","none",4,"savings/life ins",49,"none","rent",1,"skilled employee/official",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"no checking",24,"paid to date","car (new)",1525,">= 1000 DM","< 7 years",4,"female:divorced/separated/married","none",3,"car or other",34,"none","own",1,"skilled employee/official",2,"yes, registered under the customers name","yes",1,"GoodLoan"
">= 200 DM",36,"paid to date","radio/television",4473,"< 100 DM",">= 7 years",4,"male:single","none",2,"car or other",31,"none","own",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"< 200 DM",6,"paid to date","radio/television",1068,"< 100 DM",">= 7 years",4,"male:single","none",4,"car or other",28,"none","own",1,"skilled employee/official",2,"none","yes",1,"GoodLoan"
"< 0 DM",24,"critical","car (used)",6615,"< 100 DM","unemployed",2,"male:single","none",4,"unknown",75,"none","for free",2,"management/self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"no checking",18,"critical","education",1864,"< 500 DM","< 4 years",4,"female:divorced/separated/married","none",2,"real estate",30,"none","own",2,"skilled employee/official",1,"none","yes",2,"BadLoan"
"< 200 DM",60,"paid to date","car (new)",7408,"< 500 DM","< 1 year",4,"female:divorced/separated/married","none",2,"savings/life ins",24,"none","own",1,"management/self-employed/highly qualified employee/ officer",1,"none","yes",2,"BadLoan"
"no checking",48,"critical","car (used)",11590,"< 500 DM","< 4 years",2,"female:divorced/separated/married","none",4,"car or other",24,"bank","rent",2,"unskilled - resident",1,"none","yes",2,"BadLoan"
"< 0 DM",24,"fully paid","furniture/equipment",4110,"< 100 DM",">= 7 years",3,"male:single","none",4,"unknown",23,"bank","rent",2,"skilled employee/official",2,"none","yes",2,"BadLoan"
"< 0 DM",6,"critical","furniture/equipment",3384,"< 100 DM","< 4 years",1,"male:divorced/separated","none",4,"real estate",44,"none","rent",1,"management/self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes",2,"BadLoan"
"< 200 DM",13,"paid to date","radio/television",2101,"< 100 DM","< 1 year",2,"female:divorced/separated/married","guarantor",4,"savings/life ins",23,"none","own",1,"unskilled - resident",1,"none","yes",1,"GoodLoan"
"< 0 DM",15,"paid to date","domestic appliances",1275,"unknown","< 4 years",4,"female:divorced/separated/married","none",2,"car or other",24,"none","rent",1,"skilled employee/official",1,"none","yes",2,"BadLoan"
"< 0 DM",24,"paid to date","furniture/equipment",4169,"< 100 DM","< 4 years",4,"male:single","none",4,"savings/life ins",28,"none","own",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"< 200 DM",10,"paid to date","furniture/equipment",1521,"< 100 DM","< 4 years",4,"male:divorced/separated","none",2,"car or other",31,"none","own",1,"unskilled - resident",1,"none","yes",1,"GoodLoan"
"< 200 DM",24,"critical","education",5743,"< 100 DM","< 1 year",2,"female:divorced/separated/married","none",4,"unknown",24,"none","for free",2,"skilled employee/official",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 0 DM",21,"paid to date","furniture/equipment",3599,"< 100 DM","< 7 years",1,"female:divorced/separated/married","none",4,"car or other",26,"none","rent",1,"unskilled - resident",1,"none","yes",1,"GoodLoan"
"< 200 DM",18,"paid to date","radio/television",3213,"< 1000 DM","< 1 year",1,"male:married/widowed","none",3,"real estate",25,"none","rent",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"< 200 DM",18,"paid to date","business",4439,"< 100 DM",">= 7 years",1,"male:single","co-applicant",1,"real estate",33,"bank","own",1,"management/self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes",1,"GoodLoan"
">= 200 DM",10,"paid to date","car (new)",3949,"< 100 DM","< 1 year",1,"male:single","guarantor",1,"savings/life ins",37,"none","own",1,"unskilled - resident",2,"none","yes",1,"GoodLoan"
"no checking",15,"critical","radio/television",1459,"< 100 DM","< 4 years",4,"female:divorced/separated/married","none",2,"car or other",43,"none","own",1,"unskilled - resident",1,"none","yes",1,"GoodLoan"
"< 200 DM",13,"critical","radio/television",882,"< 100 DM","< 1 year",4,"male:single","guarantor",4,"real estate",23,"none","own",2,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"< 200 DM",24,"paid to date","radio/television",3758,"< 1000 DM","unemployed",1,"female:divorced/separated/married","none",4,"unknown",23,"none","rent",1,"unemployed/unskilled - non-resident",1,"none","yes",1,"GoodLoan"
"no checking",6,"past delays","business",1743,"< 500 DM","< 4 years",1,"male:single","none",2,"real estate",34,"none","own",2,"unskilled - resident",1,"none","yes",1,"GoodLoan"
"< 200 DM",9,"critical","education",1136,">= 1000 DM",">= 7 years",4,"male:single","none",3,"unknown",32,"none","for free",2,"skilled employee/official",2,"none","yes",2,"BadLoan"
"no checking",9,"paid to date","domestic appliances",1236,"< 100 DM","< 1 year",1,"female:divorced/separated/married","none",4,"real estate",23,"none","rent",1,"skilled employee/official",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 200 DM",9,"paid to date","furniture/equipment",959,"< 100 DM","< 4 years",1,"female:divorced/separated/married","none",2,"car or other",29,"none","own",1,"skilled employee/official",1,"none","no",2,"BadLoan"
"no checking",18,"critical","car (used)",3229,"unknown","unemployed",2,"male:single","none",4,"unknown",38,"none","own",1,"management/self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 0 DM",12,"fully paid","radio/television",6199,"< 100 DM","< 4 years",4,"male:single","none",2,"savings/life ins",28,"none","rent",2,"skilled employee/official",1,"yes, registered under the customers name","yes",2,"BadLoan"
"no checking",10,"paid to date","education",727,"< 1000 DM",">= 7 years",4,"male:single","none",4,"unknown",46,"none","for free",1,"skilled employee/official",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 200 DM",24,"paid to date","car (new)",1246,"< 100 DM","< 1 year",4,"male:single","none",2,"real estate",23,"stores","own",1,"unskilled - resident",1,"none","yes",2,"BadLoan"
"no checking",12,"critical","radio/television",2331,"unknown",">= 7 years",1,"male:single","co-applicant",4,"real estate",49,"none","own",1,"skilled employee/official",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"no checking",36,"past delays","radio/television",4463,"< 100 DM","< 4 years",4,"male:single","none",2,"car or other",26,"none","own",2,"management/self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes",2,"BadLoan"
"no checking",12,"paid to date","radio/television",776,"< 100 DM","< 4 years",4,"male:married/widowed","none",2,"real estate",28,"none","own",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"< 0 DM",30,"paid to date","furniture/equipment",2406,"< 100 DM","< 7 years",4,"female:divorced/separated/married","none",4,"real estate",23,"none","rent",1,"skilled employee/official",1,"none","yes",2,"BadLoan"
"< 200 DM",18,"paid to date","education",1239,"unknown","< 4 years",4,"male:single","none",4,"unknown",61,"none","for free",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
">= 200 DM",12,"paid to date","radio/television",3399,"unknown",">= 7 years",2,"male:single","none",3,"car or other",37,"none","own",1,"management/self-employed/highly qualified employee/ officer",1,"none","yes",1,"GoodLoan"
">= 200 DM",12,"past delays","car (new)",2247,"< 100 DM","< 4 years",2,"female:divorced/separated/married","none",2,"car or other",36,"stores","own",2,"skilled employee/official",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"no checking",6,"paid to date","furniture/equipment",1766,"< 100 DM","< 4 years",1,"male:married/widowed","none",2,"savings/life ins",21,"none","rent",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"< 0 DM",18,"paid to date","furniture/equipment",2473,"< 100 DM","unemployed",4,"male:single","none",1,"car or other",25,"none","own",1,"unemployed/unskilled - non-resident",1,"none","yes",2,"BadLoan"
"no checking",12,"paid to date","business",1542,"< 100 DM","< 7 years",2,"male:single","none",4,"car or other",36,"none","own",1,"skilled employee/official",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"no checking",18,"critical","car (used)",3850,"< 100 DM","< 7 years",3,"male:single","none",1,"car or other",27,"none","own",2,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"< 0 DM",18,"paid to date","furniture/equipment",3650,"< 100 DM","< 1 year",1,"female:divorced/separated/married","none",4,"car or other",22,"none","rent",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"< 0 DM",36,"paid to date","furniture/equipment",3446,"< 100 DM",">= 7 years",4,"male:single","none",2,"car or other",42,"none","own",1,"skilled employee/official",2,"none","yes",2,"BadLoan"
"< 200 DM",18,"paid to date","furniture/equipment",3001,"< 100 DM","< 7 years",2,"female:divorced/separated/married","none",4,"real estate",40,"none","rent",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"no checking",36,"paid to date","car (new)",3079,"unknown","< 4 years",4,"male:single","none",4,"real estate",36,"none","own",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"no checking",18,"critical","radio/television",6070,"< 100 DM",">= 7 years",3,"male:single","none",4,"car or other",33,"none","own",2,"skilled employee/official",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"no checking",10,"critical","furniture/equipment",2146,"< 100 DM","< 1 year",1,"female:divorced/separated/married","none",3,"real estate",23,"none","rent",2,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"no checking",60,"critical","car (new)",13756,"unknown",">= 7 years",2,"male:single","none",4,"unknown",63,"bank","for free",1,"management/self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 200 DM",60,"fully paid at this bank","others",14782,"< 500 DM",">= 7 years",3,"female:divorced/separated/married","none",4,"unknown",60,"bank","for free",2,"management/self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes",2,"BadLoan"
"< 0 DM",48,"fully paid at this bank","business",7685,"< 100 DM","< 7 years",2,"female:divorced/separated/married","guarantor",4,"car or other",37,"none","rent",1,"skilled employee/official",1,"none","yes",2,"BadLoan"
"no checking",18,"past delays","radio/television",2320,"< 100 DM","unemployed",2,"male:married/widowed","none",3,"real estate",34,"none","own",2,"skilled employee/official",1,"none","yes",1,"GoodLoan"
